group,fips_code,clinton_votes,sanders_votes,clinton_margin,clinton_percent
Georgia,13141,1112,145,967,0.7692919649960223
Georgia,13143,413,311,102,0.1408839779005525
Georgia,13145,1372,448,924,0.5076923076923077
Georgia,13147,740,276,464,0.4566929133858268
Georgia,13149,276,111,165,0.4263565891472868
Georgia,13151,15639,4406,11233,0.5603891244699426
Georgia,13153,6274,1946,4328,0.5265206812652068
Georgia,13155,326,74,252,0.63
Georgia,13157,1193,729,464,0.24141519250780438
Georgia,13159,632,133,499,0.6522875816993464
Georgia,13161,400,106,294,0.5810276679841897
Georgia,13163,1519,189,1330,0.7786885245901639
Georgia,13165,355,64,291,0.6945107398568019
Georgia,13167,388,64,324,0.7168141592920354
Georgia,13169,1585,371,1214,0.6206543967280164
Georgia,13171,868,208,660,0.6133828996282528
Georgia,13173,234,69,165,0.5445544554455446
Georgia,13175,2294,453,1841,0.6701856570804514
Georgia,13177,1009,335,674,0.5014880952380952
Georgia,13179,2783,678,2105,0.6082057208899162
Georgia,13181,538,93,445,0.705229793977813
Georgia,13183,261,111,150,0.4032258064516129
Georgia,13185,3891,1791,2100,0.36958817317845827
Georgia,13187,560,532,28,0.02564102564102564
Georgia,13189,1274,223,1051,0.7020708082832331
Georgia,13191,863,149,714,0.7055335968379447
Georgia,13193,977,105,872,0.8059149722735675
Georgia,13195,656,505,151,0.13006029285099052
Georgia,13197,431,120,311,0.5644283121597096
Georgia,13199,1463,237,1226,0.7211764705882353
Georgia,13201,159,37,122,0.6224489795918368
Georgia,13205,1338,203,1135,0.736534717715769
Georgia,13207,1250,300,950,0.6129032258064516
Georgia,13209,287,72,215,0.5988857938718662
Georgia,13211,910,259,651,0.5568862275449101
Georgia,13213,444,407,37,0.043478260869565216
Georgia,13215,12801,3319,9482,0.5882133995037221
Georgia,13217,7269,2001,5268,0.568284789644013
Georgia,13219,1223,1098,125,0.05385609651012495
Georgia,13221,561,358,203,0.22089227421109903
Georgia,13223,4095,2111,1984,0.31969062197873027
Georgia,13225,1675,316,1359,0.6825715720743345
Georgia,13227,431,370,61,0.07615480649188515
Georgia,13229,219,104,115,0.3560371517027864
Georgia,13231,417,187,230,0.38079470198675497
Georgia,13233,944,403,541,0.4016332590942836
Georgia,13235,376,60,316,0.7247706422018348
Georgia,13237,871,206,665,0.617455896007428
Georgia,13239,193,15,178,0.8557692307692307
Georgia,13241,397,326,71,0.09820193637621023
Georgia,13243,690,71,619,0.8134034165571616
Georgia,13245,16269,3578,12691,0.6394417292285988
Georgia,13247,7930,2212,5718,0.5637941234470518
Georgia,13249,146,25,121,0.7076023391812866
Georgia,13251,771,166,605,0.6456776947705443
Georgia,13253,470,81,389,0.705989110707804
Georgia,13255,3129,820,2309,0.5847049886047101
Georgia,13257,460,284,176,0.23655913978494625
Georgia,13259,460,46,414,0.8181818181818182
Georgia,13261,1960,404,1556,0.6582064297800339
Georgia,13263,852,120,732,0.7530864197530864
Georgia,13265,236,35,201,0.7416974169741697
Georgia,13267,518,153,365,0.5439642324888226
Georgia,13269,476,62,414,0.7695167286245354
Georgia,13271,426,91,335,0.6479690522243714
Georgia,13273,804,105,699,0.768976897689769
Georgia,13275,2053,551,1502,0.5768049155145929
Georgia,13277,1151,344,807,0.539799331103679
Georgia,13279,562,166,396,0.5439560439560439
Georgia,13281,312,266,46,0.07958477508650519
Georgia,13283,300,58,242,0.6759776536312849
Georgia,13285,3357,850,2507,0.5959115759448538
Georgia,13287,330,81,249,0.6058394160583942
Georgia,13289,818,118,700,0.7478632478632479
Georgia,13291,573,417,156,0.15757575757575756
Georgia,13293,1236,280,956,0.6306068601583114
Georgia,13295,1009,867,142,0.07569296375266525
Georgia,13297,2309,969,1340,0.40878584502745574
Georgia,13299,919,284,635,0.5278470490440565
Georgia,13301,468,49,419,0.8104448742746615
Georgia,13303,1741,256,1485,0.7436154231347021
Georgia,13305,700,236,464,0.49572649572649574
Georgia,13307,170,18,152,0.8085106382978723
Georgia,13309,177,26,151,0.7438423645320197
Georgia,13311,498,440,58,0.06183368869936034
Georgia,13313,1536,1307,229,0.08054871614491733
Georgia,13315,302,41,261,0.760932944606414
Georgia,13317,702,141,561,0.6654804270462633
Georgia,13319,832,155,677,0.6859169199594731
Georgia,13321,684,166,518,0.6094117647058823
